AAON
AAPL
AB
ABC
ABCB
ABM
ABMD
ABT
ACIW
ADBE
ADC
ADI
ADM
ADP
ADSK
ADX
AEIS
AEO
AEP
AES
AFG
AFL
AGCO
AIG
AIN
AIT
AJG
AJRD
ALB
ALE
ALK
ALL
ALXN
AMAT
AMD
AMED
AMGN
AN
AOS
APA
APD
APH
ARW
ARWR
ASB
ASGN
ASH
ATI
ATO
ATR
ATVI
AUB
AVA
AVB
AVT
AVY
AWR
AXP
AZO
AZPN
B
BA
BAC
BANF
BAX
BBBY
BBY
BC
BCO
BCPC
BCRX
BDN
BDX
BEN
BF-B
BIG
BIIB
BIO
BK
BKE
BKH
BKR
BLL
BMI
BMY
BOH
BOKF
BPOP
BRC
BRKS
BRO
BSX
BWA
BXMT
BXS
BYD
C
CACC
CACI
CAG
CAH
CAKE
CAR
CASY
CAT
CATY
CBRL
CBSH
CBT
CBU
CCK
CCL
CDNS
CENT
CERN
CFR
CGNX
CHD
CHDN
CHE
CI
CINF
CL
CLGX
CLH
CLX
CMA
CMC
CMCSA
CMD
CMI
CMS
CNA
CNMD
CNP
COF
COG
COHR
COLB
COO
COP
COST
CPB
CPK
CPRT
CPT
CR
CREE
CRUS
CSCO
CSL
CSX
CTAS
CTB
CTXS
CUB
CUZ
CVBF
CVS
CVX
CW
CWT
D
DAR
DCI
DDD
DDS
DE
DECK
DHI
DHR
DIOD
DIS
DISH
DLTR
DNP
DORM
DOV
DRE
DRI
DTE
DUK
DVA
DVN
DXC
DY
EA
EAT
ECL
ED
EFX
EGP
EHC
EIX
EL
ELS
ELY
EME
EMN
EMR
EOG
EQC
EQR
EQT
ERIE
ES
ESE
ESS
ETR
EXC
EXP
EXPD
EXPO
F
FAST
FBP
FCEL
FCFS
FCNCA
FCX
FDX
FELE
FFBC
FFIN
FHN
FICO
FISV
FITB
FIZZ
FL
FLIR
FLO
FLS
FMBI
FMC
FNB
FR
FRME
FRT
FSS
FUL
FULT
FUN
FWRD
GATX
GBCI
GD
GE
GEF
GGG
GILD
GIS
GL
GLW
GNTX
GPC
GPK
GPS
GT
GWW
HAE
HAIN
HAL
HAS
HBAN
HCSG
HD
HE
HEI
HELE
HES
HFC
HIG
HIW
HL
HOG
HOLX
HON
HP
HPQ
HR
HRB
HRC
HRL
HSIC
HST
HSY
HUBG
HUM
HWC
HWM
HXL
IAC
IART
IBM
ICUI
IDA
IDCC
IDXX
IEP
IEX
IFF
IIVI
INCY
INDB
INSM
INTC
INTU
IONS
IP
IPAR
IPG
IRM
IT
ITRI
ITT
ITW
IVZ
J
JACK
JBHT
JBL
JEF
JJSF
JKHY
JNJ
JOE
JPM
JW-A
JWN
K
KBH
KEX
KEY
KIM
KLAC
KMB
KMPR
KMT
KO
KR
KSS
KSU
KWR
L
LANC
LB
LCII
LECO
LEG
LEN
LFUS
LGND
LH
LHX
LLY
LMT
LNC
LNG
LNT
LOW
LPX
LRCX
LSCC
LSI
LSTR
LUMN
LUV
LXP
LZB
M
MAA
MAC
MAN
MAS
MAT
MATX
MCD
MCHP
MCK
MCO
MCY
MD
MDC
MDU
MED
MGEE
MGM
MHK
MHO
MIDD
MKC
MKL
MLHR
MLI
MLM
MMC
MMM
MMSI
MNRO
MNST
MO
MOG-A
MOS
MRK
MRO
MS
MSA
MSFT
MSM
MTB
MTG
MTH
MTX
MTZ
MU
MUR
MXIM
MYGN
NATI
NAV
NDSN
NEE
NEM
NEOG
NFG
NHI
NI
NJR
NKE
NKTR
NLOK
NNN
NOC
NOVT
NSC
NSIT
NTAP
NTRS
NUAN
NUE
NUV
NVAX
NWL
NYCB
NYT
O
ODFL
ODP
OFC
OGE
OHI
OI
OKE
OLED
OLN
OMC
OMI
ONB
ONTO
OPK
ORCL
ORI
ORLY
OSK
OXY
PAR
PATK
PAYX
PBCT
PCAR
PCG
PCH
PDCE
PDCO
PEAK
PEG
PENN
PEP
PFE
PG
PGR
PH
PHM
PII
PKI
PLXS
PNC
PNM
PNW
POOL
PPC
PPG
PPL
PRG
PRMW
PSA
PSB
PTC
PVH
PXD
PZZA
QCOM
QDEL
R
RAMP
RBC
RCII
RCL
RDN
REG
REGN
RF
RGA
RGEN
RGLD
RHI
RHP
RJF
RLI
RMD
RNST
ROCK
ROG
ROK
ROL
ROP
ROST
RPM
RRC
RS
RTX
RYN
SAFM
SAM
SANM
SASR
SBGI
SBUX
SCCO
SCHW
SCI
SCL
SEE
SEIC
SF
SFNC
SGMS
SHOO
SHW
SIGI
SIRI
SITC
SIVB
SJI
SJM
SKY
SKYW
SLB
SLM
SMG
SMTC
SNA
SNPS
SNV
SO
SON
SPB
SPG
SPGI
SPXC
SR
SSD
STAA
STT
STZ
SUI
SVC
SWK
SWKS
SWN
SWX
SXT
SYK
SYY
T
TAP
TCF
TDS
TECH
TER
TEX
TFC
TFX
TGNA
TGT
TGTX
THC
THG
THO
THRM
TJX
TKR
TMO
TOL
TPL
TR
TRMB
TRN
TROW
TRV
TSCO
TSN
TTC
TTEK
TXN
TXT
TYL
UBSI
UDR
UFPI
UGI
UHAL
UHS
UMBF
UNF
UNH
UNM
UNP
URBN
USB
USM
VFC
VIAC
VIAV
VICR
VLO
VLY
VMC
VMI
VNO
VRTX
VSH
VTR
VTRS
VZ
WAB
WAFD
WAT
WBS
WDC
WDFC
WEC
WELL
WEN
WERN
WFC
WGO
WHR
WM
WMB
WMT
WOR
WRB
WRI
WSBC
WSFS
WSM
WSO
WST
WTRG
WTS
WWW
WY
X
XEL
XLNX
XOM
XRAY
XRX
Y
ZBRA
ZION
ANAT
BF-A
BRK-A
COKE
CRVL
GHC
KAI
NEU
NVR
SEB
